dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.061231,1.285000,0.001250,0.050000,1.000000,20.000000,0.000000
0.050000,0.064981,1.285000,0.005000,0.075000,0.500000,-10.000000,0.000000
0.050000,0.071231,1.285000,0.011250,0.125000,1.000000,10.000000,0.000000
0.050000,0.079981,1.285000,0.020000,0.175000,1.000000,0.000000,0.000000
0.050000,0.091231,1.285000,0.031250,0.225000,1.000000,-0.000000,0.000000
0.050000,0.104981,1.285000,0.045000,0.275000,1.000000,-0.000000,0.000000
0.050000,0.121231,1.285000,0.061250,0.325000,1.000000,-0.000000,0.000000
0.050000,0.139981,1.285000,0.080000,0.375000,1.000000,-0.000000,0.000000
0.050000,0.161231,1.285000,0.101250,0.425000,1.000000,0.000000,0.000000
0.050000,0.184981,1.285000,0.125000,0.475000,1.000000,0.000000,0.000000
0.050000,0.211231,1.285000,0.151250,0.525000,1.000000,0.000000,0.000000
0.050000,0.239981,1.285000,0.180000,0.575000,1.000000,-0.000000,0.000000
0.050000,0.271231,1.285000,0.211250,0.625000,1.000000,0.000000,0.000000
0.050000,0.304981,1.285000,0.245000,0.675000,1.000000,-0.000000,0.000000
0.050000,0.341231,1.285000,0.281250,0.725000,1.000000,-0.000000,0.000000
0.050000,0.379981,1.285000,0.320000,0.775000,1.000000,0.000000,0.000000
0.050000,0.421231,1.285000,0.361250,0.825000,1.000000,0.000000,0.000000
0.050000,0.464981,1.285000,0.405000,0.875000,1.000000,-0.000000,0.000000
0.050000,0.511231,1.285000,0.451250,0.925000,1.000000,0.000000,0.000000
0.050000,0.559981,1.285000,0.500000,0.975000,1.000000,-0.000000,0.000000
0.050000,0.611231,1.285000,0.551250,1.025000,1.000000,0.000000,0.000000
0.050000,0.664981,1.285000,0.605000,1.075000,1.000000,0.000000,0.000000
0.050000,0.721231,1.285000,0.661250,1.125000,1.000000,0.000000,0.000000
0.050000,0.779981,1.285000,0.720000,1.175000,1.000000,0.000000,0.000000
0.050000,0.841231,1.285000,0.781250,1.225000,1.000000,0.000000,0.000000
0.050000,0.904981,1.285000,0.845000,1.275000,1.000000,0.000000,0.000000
0.050000,0.971231,1.285000,0.911250,1.325000,1.000000,0.000000,0.000000
0.050000,1.039981,1.285000,0.980000,1.375000,1.000000,0.000000,0.000000
0.050000,1.111231,1.285000,1.051250,1.425000,1.000000,0.000000,0.000000
0.050000,1.184981,1.285000,1.125000,1.475000,1.000000,-0.000000,0.000000
0.050000,1.259981,1.285000,1.200000,1.500000,0.500000,-10.000000,0.000000
0.050000,1.334981,1.285000,1.275000,1.500000,-0.000000,-10.000000,0.000000
0.050000,1.409981,1.285000,1.350000,1.500000,0.000000,0.000000,0.000000
0.050000,1.484981,1.285000,1.425000,1.500000,-0.000000,-0.000000,0.000000
0.050000,1.559981,1.285000,1.500000,1.500000,0.000000,0.000000,0.000000
0.050000,1.634981,1.285000,1.575000,1.500000,-0.000000,-0.000000,0.000000
0.050000,1.709981,1.285000,1.650000,1.500000,0.000000,0.000000,0.000000
0.050000,1.784981,1.285000,1.725000,1.500000,0.000000,0.000000,0.000000
0.050000,1.859981,1.285000,1.800000,1.500000,-0.000000,-0.000000,0.000000
0.050000,1.934981,1.285000,1.875000,1.500000,0.000000,0.000000,0.000000
0.050000,2.009729,1.285004,1.949749,1.494970,-0.100594,-2.011881,0.000802
0.050000,2.083050,1.285275,2.023070,1.466427,-0.570869,-9.405498,0.006492
0.050000,2.156548,1.285943,2.096571,1.470029,0.072043,12.858241,0.011572
0.050000,2.230223,1.286964,2.170253,1.473636,0.072130,0.001745,0.016040
0.050000,2.304073,1.288295,2.244115,1.477245,0.072182,0.001041,0.019897
0.050000,2.378099,1.289892,2.318158,1.480855,0.072209,0.000525,0.023141
0.050000,2.452300,1.291711,2.392381,1.484466,0.072217,0.000172,0.025774
0.050000,2.526677,1.293707,2.466785,1.488077,0.072215,-0.000042,0.027795
0.050000,2.601231,1.295836,2.541370,1.491687,0.072208,-0.000146,0.029204
0.050000,2.675963,1.298053,2.616134,1.495297,0.072200,-0.000163,0.030001
0.050000,2.750874,1.300312,2.691080,1.498907,0.072194,-0.000121,0.030186
0.050000,2.825966,1.302567,2.766206,1.502516,0.072191,-0.000045,0.029760
0.050000,2.901240,1.304773,2.841512,1.506126,0.072193,0.000039,0.028722
0.050000,2.976697,1.306882,2.916999,1.509736,0.072199,0.000105,0.027071
0.050000,3.052339,1.308849,2.992666,1.513346,0.072205,0.000127,0.024809
0.050000,3.128166,1.310625,3.068514,1.516957,0.072209,0.000079,0.021935
0.050000,3.204179,1.312164,3.144542,1.520567,0.072206,-0.000065,0.018449
0.050000,3.280377,1.313417,3.220751,1.524176,0.072189,-0.000331,0.014351
0.050000,3.356761,1.314338,3.297140,1.527784,0.072152,-0.000745,0.009642
0.050000,3.433329,1.314876,3.373710,1.531388,0.072085,-0.001332,0.004322
0.050000,3.509476,1.315001,3.449857,1.522945,-0.168871,-4.819128,0.000405
0.050000,3.579287,1.315481,3.519669,1.396248,-2.533931,-47.301197,0.017987
0.050000,3.640646,1.317801,3.581073,1.228075,-3.363459,-16.590562,0.064058
0.050000,3.690807,1.322848,3.631487,1.008274,-4.396017,-20.651156,0.147352
0.050000,3.724833,1.329893,3.666234,0.694954,-6.266413,-37.407933,0.283714
0.050000,3.737328,1.334465,3.679540,0.266113,-8.576815,-46.208037,0.492791
0.050000,3.731594,1.329873,3.686887,0.146932,-2.383618,123.863941,0.771980
0.050000,3.725316,1.322036,3.696927,0.200817,1.077690,69.226169,1.060356
0.050000,3.727637,1.328779,3.704058,0.142619,-1.163950,-44.832807,1.290411
0.050000,3.732653,1.355487,3.731233,0.543499,8.017591,183.630818,1.452435
0.050000,3.734992,1.397145,3.772956,0.834462,5.819259,-43.966636,1.565165
0.050000,3.734959,1.470121,3.845933,1.459534,12.501445,133.643717,1.571960
0.050000,3.734829,1.544785,3.920597,1.493284,0.675012,-236.528657,1.573098
0.050000,3.734617,1.619480,3.995292,1.493893,0.012179,-13.256665,1.574133
0.050000,3.734333,1.694204,4.070017,1.494502,0.012179,0.000014,1.575065
0.050000,3.733982,1.768959,4.144773,1.495111,0.012180,0.000009,1.575893
0.050000,3.733573,1.843744,4.219559,1.495720,0.012180,0.000005,1.576619
0.050000,3.733113,1.918559,4.294375,1.496329,0.012180,0.000002,1.577241
0.050000,3.732611,1.993404,4.369222,1.496938,0.012180,0.000000,1.577760
0.050000,3.732073,2.068280,4.444099,1.497547,0.012180,-0.000001,1.578176
0.050000,3.731508,2.143185,4.519007,1.498156,0.012180,-0.000002,1.578488
0.050000,3.730923,2.218121,4.593946,1.498765,0.012180,-0.000002,1.578697
0.050000,3.730327,2.293088,4.668914,1.499374,0.012180,-0.000002,1.578803
0.050000,3.729725,2.368084,4.743913,1.499983,0.012180,-0.000001,1.578806
0.050000,3.729127,2.443112,4.818943,1.500592,0.012180,-0.000001,1.578706
0.050000,3.728541,2.518169,4.894003,1.501201,0.012180,0.000000,1.578502
0.050000,3.727973,2.593258,4.969094,1.501810,0.012180,0.000001,1.578195
0.050000,3.727432,2.668377,5.044215,1.502419,0.012180,0.000001,1.577785
0.050000,3.726925,2.743527,5.119366,1.503028,0.012180,0.000001,1.577272
0.050000,3.726461,2.818707,5.194548,1.503637,0.012180,0.000000,1.576655
0.050000,3.726047,2.893918,5.269760,1.504246,0.012180,-0.000001,1.575936
0.050000,3.725690,2.969160,5.345003,1.504855,0.012180,-0.000003,1.575113
0.050000,3.725400,3.044433,5.420276,1.505464,0.012179,-0.000006,1.574187
0.050000,3.725182,3.119736,5.495580,1.506073,0.012179,-0.000010,1.573157
0.050000,3.725047,3.195070,5.570914,1.506682,0.012178,-0.000015,1.572025
0.050000,3.725000,3.270424,5.646268,1.507083,0.008022,-0.083134,1.570796
0.050000,3.725000,3.345424,5.721268,1.500000,-0.141664,-2.993719,1.570796
0.050000,3.725000,3.420424,5.796268,1.500000,-0.000000,2.833288,1.570796
0.050000,3.725000,3.495424,5.871268,1.500000,-0.000000,0.000000,1.570796
0.050000,3.725000,3.570424,5.946268,1.500000,0.000000,0.000000,1.570796
0.050000,3.725000,3.645424,6.021268,1.500000,0.000000,0.000000,1.570796
0.050000,3.725000,3.720424,6.096268,1.500000,0.000000,0.000000,1.570796
0.050000,3.725000,3.795424,6.171268,1.500000,0.000000,-0.000000,1.570796
0.050000,3.725000,3.870424,6.246268,1.500000,0.000000,-0.000000,1.570796
0.050000,3.725000,3.945424,6.321268,1.500000,0.000000,-0.000000,1.570796
0.050000,3.725000,4.020424,6.396268,1.500000,-0.000000,-0.000000,1.570796
0.050000,3.725000,4.095411,6.471255,1.499738,-0.005240,-0.104800,1.570796
0.050000,3.725000,4.170411,6.546255,1.500000,0.005240,0.209600,1.570796
0.050000,3.725000,4.245411,6.621255,1.500000,0.000000,-0.104800,1.570796
0.050000,3.725000,4.319654,6.695498,1.484863,-0.302741,-6.054816,1.570796
0.050000,3.725000,4.391891,6.767734,1.444726,-0.802741,-10.000000,1.570796
