dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,4.950307,1.475690,6.878922,0.522325,-1.283084,-1.224051,6.194882
0.050000,4.973279,1.472306,6.902141,0.464387,-1.158748,2.486709,6.074906
0.050000,4.993808,1.466591,6.923451,0.426191,-0.763928,7.896418,5.946373
0.050000,5.013140,1.458365,6.944460,0.420186,-0.120100,12.876560,5.816495
0.050000,5.032549,1.446988,6.966958,0.449953,0.595340,14.308801,5.693285
0.050000,5.052788,1.431681,6.992334,0.507527,1.151476,11.122704,5.582973
0.050000,5.073976,1.411952,7.021285,0.579019,1.429834,5.567159,5.488672
0.050000,5.095852,1.387766,7.053896,0.652230,1.464227,0.687877,5.410769
0.050000,5.118078,1.359443,7.089899,0.720062,1.356636,-2.151828,5.348057
0.050000,5.140408,1.327473,7.128895,0.779912,1.197001,-3.192700,5.298750
0.050000,5.162727,1.292377,7.170487,0.831833,1.038421,-3.171608,5.261072
0.050000,5.185047,1.254629,7.214340,0.877061,0.904555,-2.677307,5.233526
0.050000,5.207479,1.214630,7.260200,0.917199,0.802762,-2.035871,5.214971
0.050000,5.230207,1.172700,7.307893,0.953867,0.733365,-1.387934,5.204633
0.050000,5.253484,1.129094,7.357323,0.988598,0.694619,-0.774925,5.202078
0.050000,5.277626,1.084008,7.408465,1.022847,0.684979,-0.192792,5.207199
0.050000,5.303020,1.037599,7.461368,1.058047,0.703998,0.380375,5.220209
0.050000,5.330139,0.989999,7.516151,1.095672,0.752501,0.970064,5.241656
0.050000,5.359567,0.941342,7.573015,1.137282,0.832207,1.594111,5.272433
0.050000,5.392020,0.891800,7.632241,1.184506,0.944471,2.245281,5.313802
0.050000,5.428379,0.841650,7.694184,1.238871,1.087297,2.856532,5.367370
0.050000,5.469687,0.791378,7.759250,1.301327,1.249123,3.236524,5.434957
0.050000,5.517080,0.741834,7.827812,1.371228,1.398026,2.978041,5.518243
0.050000,5.571576,0.694422,7.900045,1.444669,1.468814,1.415765,5.618035
0.050000,5.633646,0.651193,7.975686,1.512808,1.362790,-2.120468,5.733150
0.050000,5.700781,0.615450,8.051742,1.521132,0.166476,-23.926296,5.850267
0.050000,5.754495,0.591852,8.110412,1.173394,-6.954761,-142.424736,5.889143
0.050000,5.810754,0.569942,8.170786,1.207488,0.681875,152.732717,5.935669
0.050000,5.870168,0.550250,8.233379,1.251856,0.887365,4.109812,5.992151
0.050000,5.933517,0.533587,8.298883,1.310078,1.164439,5.541479,6.061703
0.050000,6.001721,0.521225,8.368198,1.386308,1.524605,7.203326,6.148377
0.050000,6.075654,0.515156,8.442379,1.483622,1.946282,8.433533,6.256928
0.050000,6.155544,0.518321,8.522332,1.599055,2.308647,7.247300,0.108270
0.050000,6.239752,0.534286,8.608040,1.714158,2.302075,-0.131447,0.268737
0.050000,6.323578,0.565554,8.697508,1.789362,1.504068,-15.960142,0.446172
0.050000,6.400333,0.611027,8.786722,1.784275,-0.101740,-32.116146,0.622459
0.050000,6.465141,0.665851,8.871608,1.697728,-1.730938,-32.583972,0.779221
0.050000,6.517236,0.724528,8.950074,1.569314,-2.568274,-16.746713,0.907052
0.050000,6.558637,0.783408,9.022053,1.439578,-2.594719,-0.528898,1.005699
